,Income,LoanAmount,CreditHistory,Approved
0,5849.0,128.0,1,1
1,4583.0,128.0,1,0
2,3000.0,66.0,1,1
3,2583.0,120.0,1,1
4,6000.0,141.0,1,1
5,5417.0,267.0,1,1
6,2333.0,95.0,1,1
7,3036.0,158.0,0,0
8,4006.0,168.0,1,1
9,12841.0,349.0,1,0
10,3200.0,70.0,1,1
11,2500.0,109.0,1,1
12,3073.0,200.0,1,1
13,1853.0,114.0,1,0
14,1299.0,17.0,1,1
15,4950.0,125.0,1,1
16,3596.0,100.0,1,1
17,3510.0,76.0,0,0
18,4887.0,133.0,1,0
19,2600.0,115.0,1,1
20,7660.0,104.0,0,0
21,5955.0,315.0,1,1
22,2600.0,116.0,0,0
23,3365.0,112.0,0,0
24,3717.0,151.0,1,0
25,9560.0,191.0,1,1
26,2799.0,122.0,1,1
27,4226.0,110.0,1,1
28,1442.0,35.0,1,0
29,3750.0,120.0,1,1
30,4166.0,201.0,1,0
31,3167.0,74.0,1,0
32,4692.0,106.0,1,0
33,3500.0,114.0,1,1
34,12500.0,320.0,1,0
35,2275.0,128.0,1,1
36,1828.0,100.0,0,0
37,3667.0,144.0,1,1
38,4166.0,184.0,1,1
39,3748.0,110.0,1,1
40,3600.0,80.0,1,0
41,1800.0,47.0,1,1
42,2400.0,75.0,1,1
43,3941.0,134.0,1,1
44,4695.0,96.0,1,1
45,3410.0,88.0,1,1
46,5649.0,44.0,1,1
47,5821.0,144.0,1,1
48,2645.0,120.0,0,0
49,4000.0,144.0,1,1
50,1928.0,100.0,1,1
51,3086.0,120.0,1,1
52,4230.0,112.0,1,0
53,4616.0,134.0,1,0
54,11500.0,286.0,0,0
55,2708.0,97.0,1,1
56,2132.0,96.0,1,1
57,3366.0,135.0,1,0
58,8080.0,180.0,1,1
59,3357.0,144.0,1,1
60,2500.0,120.0,1,1
61,3029.0,99.0,1,1
62,2609.0,165.0,0,0
63,4945.0,128.0,0,0
64,4166.0,116.0,0,0
65,5726.0,258.0,1,0
66,3200.0,126.0,0,0
67,10750.0,312.0,1,1
68,7100.0,125.0,1,1
69,4300.0,136.0,0,0
70,3208.0,172.0,1,1
71,1875.0,97.0,1,1
72,3500.0,81.0,1,1
73,4755.0,95.0,0,0
74,5266.0,187.0,1,1
75,3750.0,113.0,1,0
76,3750.0,176.0,1,0
77,1000.0,110.0,1,0
78,3167.0,180.0,0,0
79,3333.0,130.0,1,1
80,3846.0,111.0,1,1
81,2395.0,128.0,1,1
82,1378.0,167.0,1,0
83,6000.0,265.0,1,0
84,3988.0,50.0,1,1
85,2366.0,136.0,1,1
86,3333.0,99.0,1,1
